fs_id,subject_id,required_files_ok,missing_files,log_reports_error,manual_surface_qc,final_qc_pass
ds000030_sub-50058,sub-50058,True,,False,PASS,True
ds000030_sub-50059,sub-50059,True,,False,PASS,True
ds000030_sub-50060,sub-50060,True,,False,PASS,True
ds000030_sub-50061,sub-50061,True,,False,PASS,True
ds000030_sub-50064,sub-50064,True,,False,PASS,True
ds000030_sub-50066,sub-50066,True,,False,PASS,True
ds000030_sub-50067,sub-50067,True,,False,PASS,True
ds000030_sub-50069,sub-50069,True,,False,PASS,True
ds000030_sub-50073,sub-50073,True,,False,PASS,True
ds000030_sub-50075,sub-50075,True,,False,PASS,True
ds000030_sub-50076,sub-50076,True,,False,PASS,True
ds000030_sub-50077,sub-50077,True,,False,PASS,True
ds000030_sub-50080,sub-50080,True,,False,PASS,True
ds000030_sub-50081,sub-50081,True,,False,PASS,True
ds000030_sub-50083,sub-50083,True,,False,PASS,True
ds000030_sub-50085,sub-50085,True,,False,PASS,True
